date	code	n
2025-03-31	0-B08.1	1
2025-03-31	0-B08.20	2
2025-03-31	0-B08.4	5
2025-03-31	0-B08.5	1
2025-03-31	0-B34.1	12
2025-03-31	0-B97.10	1
2025-03-31	0-E86.0	27
2025-03-31	0-E86.1	1
2025-03-31	0-E87.1	9
2025-03-31	0-E87.20	1
2025-03-31	0-E87.29	2
2025-03-31	0-E87.3	1
2025-03-31	0-E87.5	11
2025-03-31	0-E87.6	12
2025-03-31	0-E87.70	3
2025-03-31	0-E87.8	1
2025-03-31	0-H60.01	1
2025-03-31	0-H60.02	1
2025-03-31	0-H60.22	1
2025-03-31	0-H60.311	1
2025-03-31	0-H60.392	2
2025-03-31	0-H60.393	1
2025-03-31	0-H60.501	3
2025-03-31	0-H60.502	3
2025-03-31	0-H60.503	1
2025-03-31	0-H60.90	4
2025-03-31	0-H60.91	1
2025-03-31	0-H60.92	1
2025-03-31	0-H60.93	1
2025-03-31	0-L03.011	10
2025-03-31	0-L03.012	4
2025-03-31	0-L03.019	2
2025-03-31	0-L03.031	1
2025-03-31	0-L03.032	2
2025-03-31	0-L03.039	1
2025-03-31	0-L03.112	1
2025-03-31	0-L03.113	5
2025-03-31	0-L03.114	3
2025-03-31	0-L03.115	8
2025-03-31	0-L03.116	6
2025-03-31	0-L03.119	5
2025-03-31	0-L03.211	1
2025-03-31	0-L03.213	3
2025-03-31	0-L03.311	1
2025-03-31	0-L03.313	1
2025-03-31	0-L03.90	18
2025-03-31	0-L55.9	1
2025-03-31	0-M79.81	1
2025-03-31	0-M79.89	43
2025-03-31	0-N17.9	20
2025-03-31	0-R41.0	3
2025-03-31	0-R41.82	19
2025-03-31	0-R41.840	1
2025-03-31	0-R41.89	2
2025-03-31	0-R41.9	2
2025-03-31	0-R50.81	5
2025-03-31	0-R50.9	102
2025-03-31	0-R53	1
2025-03-31	0-R53.1	27
2025-03-31	0-R53.81	7
2025-03-31	0-R53.82	1
2025-03-31	0-R53.83	19
2025-03-31	0-R55	113
2025-03-31	0-S81.801A	1
2025-03-31	0-S81.802A	6
2025-03-31	0-S81.809A	1
2025-03-31	0-S81.811A	2
2025-03-31	0-S81.812A	6
2025-03-31	0-S81.819A	2
2025-03-31	0-S81.851D	1
2025-03-31	0-S91.012A	1
2025-03-31	0-S91.119A	1
2025-03-31	0-S91.209A	2
2025-03-31	0-S91.309A	1
2025-03-31	0-S91.311A	2
2025-03-31	0-S91.311D	1
2025-03-31	0-S91.312A	2
2025-03-31	0-S91.332A	1
2025-03-31	0-T67.1XXS	2
2025-03-31	0-T67.5XXA	1
2025-03-31	0-W57.XXXA	6
2025-03-31	0-other	10101
2025-03-31	1-E86.0	8
2025-03-31	1-E87.0	4
2025-03-31	1-E87.1	15
2025-03-31	1-E87.20	3
2025-03-31	1-E87.29	3
2025-03-31	1-E87.5	15
2025-03-31	1-E87.6	10
2025-03-31	1-E87.70	4
2025-03-31	1-E87.79	1
