Name1	Name	Desc	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	V1	added
A00	A00	Cholera	Root	A00-B99	A00-A09	A00					NA	0
A000	A00.0	Cholera due to Vibrio cholerae 01, biovar cholerae	Root	A00-B99	A00-A09	A00	A00.0				A000    Cholera due to Vibrio cholerae 01, biovar cholerae	0
A001	A00.1	Cholera due to Vibrio cholerae 01, biovar eltor	Root	A00-B99	A00-A09	A00	A00.1				A001    Cholera due to Vibrio cholerae 01, biovar eltor	0
A009	A00.9	Cholera, unspecified	Root	A00-B99	A00-A09	A00	A00.9				A009    Cholera, unspecified	0
A01	A01	Typhoid and paratyphoid fevers	Root	A00-B99	A00-A09	A01					NA	0
A010	A01.0	Typhoid fever	Root	A00-B99	A00-A09	A01	A01.0				NA	0
A0100	A01.00	Typhoid fever, unspecified	Root	A00-B99	A00-A09	A01	A01.0	A01.00			A0100   Typhoid fever, unspecified	0
A0101	A01.01	Typhoid meningitis	Root	A00-B99	A00-A09	A01	A01.0	A01.01			A0101   Typhoid meningitis	0
A0102	A01.02	Typhoid fever with heart involvement	Root	A00-B99	A00-A09	A01	A01.0	A01.02			A0102   Typhoid fever with heart involvement	0
A0103	A01.03	Typhoid pneumonia	Root	A00-B99	A00-A09	A01	A01.0	A01.03			A0103   Typhoid pneumonia	0
A0104	A01.04	Typhoid arthritis	Root	A00-B99	A00-A09	A01	A01.0	A01.04			A0104   Typhoid arthritis	0
A0105	A01.05	Typhoid osteomyelitis	Root	A00-B99	A00-A09	A01	A01.0	A01.05			A0105   Typhoid osteomyelitis	0
A0109	A01.09	Typhoid fever with other complications	Root	A00-B99	A00-A09	A01	A01.0	A01.09			A0109   Typhoid fever with other complications	0
A011	A01.1	Paratyphoid fever A	Root	A00-B99	A00-A09	A01	A01.1				A011    Paratyphoid fever A	0
A012	A01.2	Paratyphoid fever B	Root	A00-B99	A00-A09	A01	A01.2				A012    Paratyphoid fever B	0
A013	A01.3	Paratyphoid fever C	Root	A00-B99	A00-A09	A01	A01.3				A013    Paratyphoid fever C	0
A014	A01.4	Paratyphoid fever, unspecified	Root	A00-B99	A00-A09	A01	A01.4				A014    Paratyphoid fever, unspecified	0
A02	A02	Other salmonella infections	Root	A00-B99	A00-A09	A02					NA	0
A020	A02.0	Salmonella enteritis	Root	A00-B99	A00-A09	A02	A02.0				A020    Salmonella enteritis	0
A021	A02.1	Salmonella sepsis	Root	A00-B99	A00-A09	A02	A02.1				A021    Salmonella sepsis	0
A022	A02.2	Localized salmonella infections	Root	A00-B99	A00-A09	A02	A02.2				NA	0
A0220	A02.20	Localized salmonella infection, unspecified	Root	A00-B99	A00-A09	A02	A02.2	A02.20			A0220   Localized salmonella infection, unspecified	0
A0221	A02.21	Salmonella meningitis	Root	A00-B99	A00-A09	A02	A02.2	A02.21			A0221   Salmonella meningitis	0
A0222	A02.22	Salmonella pneumonia	Root	A00-B99	A00-A09	A02	A02.2	A02.22			A0222   Salmonella pneumonia	0
A0223	A02.23	Salmonella arthritis	Root	A00-B99	A00-A09	A02	A02.2	A02.23			A0223   Salmonella arthritis	0
A0224	A02.24	Salmonella osteomyelitis	Root	A00-B99	A00-A09	A02	A02.2	A02.24			A0224   Salmonella osteomyelitis	0
A0225	A02.25	Salmonella pyelonephritis	Root	A00-B99	A00-A09	A02	A02.2	A02.25			A0225   Salmonella pyelonephritis	0
A0229	A02.29	Salmonella with other localized infection	Root	A00-B99	A00-A09	A02	A02.2	A02.29			A0229   Salmonella with other localized infection	0
A028	A02.8	Other specified salmonella infections	Root	A00-B99	A00-A09	A02	A02.8				A028    Other specified salmonella infections	0
A029	A02.9	Salmonella infection, unspecified	Root	A00-B99	A00-A09	A02	A02.9				A029    Salmonella infection, unspecified	0
A03	A03	Shigellosis	Root	A00-B99	A00-A09	A03					NA	0
A030	A03.0	Shigellosis due to Shigella dysenteriae	Root	A00-B99	A00-A09	A03	A03.0				A030    Shigellosis due to Shigella dysenteriae	0
A031	A03.1	Shigellosis due to Shigella flexneri	Root	A00-B99	A00-A09	A03	A03.1				A031    Shigellosis due to Shigella flexneri	0
A032	A03.2	Shigellosis due to Shigella boydii	Root	A00-B99	A00-A09	A03	A03.2				A032    Shigellosis due to Shigella boydii	0
A033	A03.3	Shigellosis due to Shigella sonnei	Root	A00-B99	A00-A09	A03	A03.3				A033    Shigellosis due to Shigella sonnei	0
A038	A03.8	Other shigellosis	Root	A00-B99	A00-A09	A03	A03.8				A038    Other shigellosis	0
A039	A03.9	Shigellosis, unspecified	Root	A00-B99	A00-A09	A03	A03.9				A039    Shigellosis, unspecified	0
A04	A04	Other bacterial intestinal infections	Root	A00-B99	A00-A09	A04					NA	0
A040	A04.0	Enteropathogenic Escherichia coli infection	Root	A00-B99	A00-A09	A04	A04.0				A040    Enteropathogenic Escherichia coli infection	0
A041	A04.1	Enterotoxigenic Escherichia coli infection	Root	A00-B99	A00-A09	A04	A04.1				A041    Enterotoxigenic Escherichia coli infection	0
A042	A04.2	Enteroinvasive Escherichia coli infection	Root	A00-B99	A00-A09	A04	A04.2				A042    Enteroinvasive Escherichia coli infection	0
A043	A04.3	Enterohemorrhagic Escherichia coli infection	Root	A00-B99	A00-A09	A04	A04.3				A043    Enterohemorrhagic Escherichia coli infection	0
A044	A04.4	Other intestinal Escherichia coli infections	Root	A00-B99	A00-A09	A04	A04.4				A044    Other intestinal Escherichia coli infections	0
A045	A04.5	Campylobacter enteritis	Root	A00-B99	A00-A09	A04	A04.5				A045    Campylobacter enteritis	0
A046	A04.6	Enteritis due to Yersinia enterocolitica	Root	A00-B99	A00-A09	A04	A04.6				A046    Enteritis due to Yersinia enterocolitica	0
A047	A04.7	Enterocolitis due to Clostridium difficile	Root	A00-B99	A00-A09	A04	A04.7				NA	0
A0471	A04.71	Enterocolitis due to Clostridium difficile, recurrent	Root	A00-B99	A00-A09	A04	A04.7	A04.71			A0471   Enterocolitis due to Clostridium difficile, recurrent	0
A0472	A04.72	Enterocolitis due to Clostridium difficile, not specified as recurrent	Root	A00-B99	A00-A09	A04	A04.7	A04.72			A0472   Enterocolitis due to Clostridium difficile, not specified as recurrent	0
